Person,The Lost Continent of Atlantis has been discovered. ,Extraterrestrials helped ancient Egyptians build the pyramids.,Columbus was the first person to reach the Americas.,Psychics can help archaeologists locate hidden sites.,Archaeologists have discovered an ancient race of human giants.
Person 1,Unsure,Unsure,Strongly disagree,Unsure,Strongly disagree
Person 2,Unsure,Somewhat agree,Strongly disagree,Unsure,Somewhat agree
Person 3,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
Person 4,Strongly disagree,Unsure,Strongly disagree,Strongly agree,Unsure
Person 5,Somewhat disagree,Unsure,Somewhat agree,Somewhat agree,Somewhat agree
Person 6,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Person 7,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Person 8,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
Person 9,Strongly disagree,Strongly agree,Strongly disagree,Unsure,Unsure
Person 10,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
Person 11,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
Person 12,Strongly disagree,Strongly disagree,Unsure,Somewhat agree,Somewhat agree
Person 13,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
Person 14,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Unsure
